// sample				nEvt	L(/pb)	filt  collection		  comment
Fall11/Z_2e__10  500000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__11  496485   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__12  500000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__13  495000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__14  496433   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__15  500000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__16  500000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__17  495000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__18  499425   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__19  495000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__20  500000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__21  495000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__22  497229   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__23  500000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__24  500000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__25  489228   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__26  495000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__27  500000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__28  490000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__29  499848   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e__30  500000   1700. 1.000 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 

Fall11/Z_2e_ZPtFilt__1  493042   1700. 0.101 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e_ZPtFilt__2  479133   1700. 0.102 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e_ZPtFilt__3  479825   1700. 0.101 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e_ZPtFilt__4  488559   1700. 0.102 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e_ZPtFilt__5  493526   1700. 0.102 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e_ZPtFilt__6  474264   1700. 0.101 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2e_ZPtFilt__7   25477   1700. 0.102 DYToEE_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 

Fall11/Z_2m__1   500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__2   500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__3   500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__4   495352   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__5   500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__6   500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__7   500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__8   497395   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__9   500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__10  500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__11  500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__12  496877   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__13  500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__14  500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__15  500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__16  496769   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__17  500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2m__18  500000   1700. 1.000 DYToMuMu_M-20_CT10_TuneZ2_7TeV-powheg-pythia/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
